icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,price
4baa79,THY1SQ,Turkey,1767007113.0,1767007113,-0.5668,39.5222,1028.7,False,91.11,296.13,5.53,,1135.38,1421,False,0,75.28498595935734
4ca90a,ITY437,Ireland,1767007113.0,1767007113,11.7648,44.6005,11277.6,False,231.32,176.94,-0.33,,11346.18,1000,False,0,297.0225662815223
31fef7,PROVA20,Italy,1767007113.0,1767007113,8.7617,45.7588,502.92,False,62.23,223.33,-0.65,,594.36,0030,False,0,77.3973789663312
a333b5,UPS117,United States,1767007113.0,1767007113,137.8543,33.8934,9456.42,False,276.62,82.41,0.0,,9486.9,3461,False,0,286.11486023971094
a4b6b6,JBU1408,United States,1767007114.0,1767007114,-1.6104,49.299,9144.0,False,244.79,280.41,0.0,,9281.16,0670,False,0,297.4510125651085
896529,EFC61R,United Arab Emirates,1767007114.0,1767007114,55.0975,24.8729,487.68,False,59.32,201.89,-0.33,,441.96,,False,0,102.01638631731063
4b1f2f,HBLVB,Switzerland,1767007114.0,1767007114,4.8042,44.7024,3048.0,False,91.7,186.77,0.0,,3185.16,1000,False,0,122.33098704188333
4ac9e1,SAS9229,Sweden,1767007114.0,1767007114,14.5244,67.0181,4297.68,False,209.06,173.78,13.33,,4015.74,,False,0,176.86355549169426
4ac9e3,SAS42E,Sweden,1767007114.0,1767007114,15.4512,57.4188,11887.2,False,221.94,41.52,0.0,,11445.24,0251,False,0,232.3860919734139
4ac9e4,SAS792,Sweden,1767007114.0,1767007114,7.6542,43.7178,4015.74,False,170.46,69.32,8.13,,4130.04,,False,0,162.1473336151516
a5cfa5,UAL1649,United States,1767007114.0,1767007114,-74.4972,40.6429,1638.3,False,153.72,29.91,0.0,,1485.9,4602,False,0,137.49639522344611
4ac9e6,SAS49J,Sweden,1767007114.0,1767007114,20.2039,63.2802,11879.58,False,219.67,23.02,0.0,,11148.06,,False,0,251.57200945697628
896532,FDB5TC,United Arab Emirates,1767007114.0,1767007114,52.1812,26.2725,12192.0,False,184.77,295.57,0.33,,12679.68,0575,False,0,266.55666065815393
